query_trait,ontology,term_id,term_label,term_definition
feed conversion rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
feed conversion rate,OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
feed conversion rate,OBA,OBA:0003172,anagen rate,The rate of a anagen.
feed conversion rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
feed conversion rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
feed conversion rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
feed conversion rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
feed conversion rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
feeding behavior,OBA,GO:0007631,feeding behavior,See also the biological process term 'behavior ; GO:0007610'.
feeding behavior,OBA,NBO:0000079,feeding behavior,"The act of bringing an object or substance into the body by swallowing, surrounding or absorbing it [NBO:SMAC]"
feeding behavior,OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
feeding behavior,OBA,NBO:0000270,feeding behavior phenotype,NA
feeding behavior,OBA,GO:0060259,regulation of feeding behavior,NA
feeding behavior,PATO,GO:0007610,behavior,"1. Note that this term is in the subset of terms that should not be used for direct gene product annotation. Instead, select a child term or, if no appropriate child term exists, please request a new term. Direct annotations to this term may be amended during annotation reviews.
2. While a broader definition of behavior encompassing plants and single cell organisms would be justified on the basis of some usage (see PMID:20160973 for discussion), GO uses a tight definition that limits behavior to animals and to responses involving the nervous system, excluding plant responses that GO classifies under development, and responses of unicellular organisms that has general classifications for covering the responses of cells in multicellular organisms (e.g. cell chemotaxis)."
feeding behavior,PATO,GO:0019098,reproductive behavior,The specific behavior of an organism that is associated with reproduction.
feeding behavior,PATO,GO:0050795,regulation of behavior,"Any process that modulates the frequency, rate or extent of behavior, the internally coordinated responses (actions or inactions) of whole living organisms (individuals or groups) to internal or external stimuli."
feeding behavior,PATO,GO:0048520,positive regulation of behavior,"Any process that activates or increases the frequency, rate or extent of behavior, the internally coordinated responses (actions or inactions) of whole living organisms (individuals or groups) to internal or external stimuli."
feeding behavior,PATO,GO:0048521,negative regulation of behavior,"Any process that stops, prevents, or reduces the frequency, rate or extent of behavior, the internally coordinated responses (actions or inactions) of whole living organisms (individuals or groups) to internal or external stimuli."
feeding period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
feeding period,OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
feeding period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
feeding period,OBA,GO:0007631,feeding behavior,See also the biological process term 'behavior ; GO:0007610'.
feeding period,OBA,HP:0011968,Feeding difficulties,"Difficulties with eating and drinking, resulting in decreased oral nutrition"
feeding period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
feeding period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
feeding period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
feeding period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
feeding period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
feeding period (adult),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
feeding period (adult),OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
feeding period (adult),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
feeding period (adult),OBA,OBA:1000037,adult organism mass,The mass of a adult organism.
feeding period (adult),OBA,GO:0007631,feeding behavior,See also the biological process term 'behavior ; GO:0007610'.
feeding period (adult),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
feeding period (adult),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
feeding period (adult),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
feeding period (adult),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
feeding period (adult),PATO,CL:0008017,adult skeletal muscle myoblast,"The vast majority of these cells develop from skeletal muscle satellite cells, although there are some reports of other origins."
feeding period (larval),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
feeding period (larval),OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
feeding period (larval),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
feeding period (larval),OBA,GO:0007631,feeding behavior,See also the biological process term 'behavior ; GO:0007610'.
feeding period (larval),OBA,HP:0011968,Feeding difficulties,"Difficulties with eating and drinking, resulting in decreased oral nutrition"
feeding period (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
feeding period (larval),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
feeding period (larval),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
feeding period (larval),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
feeding period (larval),PATO,PATO:0001187,pupal,A maturity quality inhering in a insect by virtue of the bearer's being in the chrysalis (cocoon) or post larval stage.
feeding period (nymphal),OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
feeding period (nymphal),OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
feeding period (nymphal),OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
feeding period (nymphal),OBA,GO:0007631,feeding behavior,See also the biological process term 'behavior ; GO:0007610'.
feeding period (nymphal),OBA,HP:0011968,Feeding difficulties,"Difficulties with eating and drinking, resulting in decreased oral nutrition"
feeding period (nymphal),PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
feeding period (nymphal),PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
feeding period (nymphal),PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
feeding period (nymphal),PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
feeding period (nymphal),PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
feeding preference,OBA,OBA:1000748,feeding behavior quality,The quality of a feeding behavior.
feeding preference,OBA,OBA:1000817,conditioned place preference behavior quality,The quality of a conditioned place preference behavior.
feeding preference,OBA,NBO:0000141,food preference,NA
feeding preference,OBA,NBO:0000133,liquid preference/aversion,NA
feeding preference,OBA,NBO:0000135,food preference/aversion,NA
feeding preference,PATO,PATO:0000773,preference,A discrimination quality in a bearer by virtue of the bearer's liking a perceived stimulus.
feeding preference,PATO,PATO:0000772,indifference,A preference quality in a bearer by virtue of the bearer's having no preference to a perceived stimulus.
feeding preference,PATO,PATO:0000771,aversion,A preference quality in a bearer by virtue of the bearer's disliking a perceived stimulus.
feeding preference,PATO,UBERON:0013765,digestive system element,"Any of the organs or elements that are part of the digestive system. Examples: tongue, esophagus, spleen, crop, lunge feeding organ, tooth elements."
