OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
gross photosynthesis / specific growth rate,NA,micro (day^-1),Cladophorales,Cladophoraceae,inocolum,Trait: gross photosynthesis / specific growth rate. Unit: micro (day^-1). Organism order: Cladophorales. Organism family: Cladophoraceae.,v5,13
net photosynthesis specific growth rate,NA,micro (day^-1),Cladophorales,Cladophoraceae,inocolum,Trait: net photosynthesis specific growth rate. Unit: micro (day^-1). Organism order: Cladophorales. Organism family: Cladophoraceae.,v5,13
net co2 assimilation rate,NA,micromol m^-2 s^-1,Fagales,Fagaceae,NA,Trait: net co2 assimilation rate. Unit: micromol m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,13
apparent co2 assimilation rate,NA,mg co2 g(FW)^-1 h^-1,Poales,Poaceae,10-14 days old,Trait: apparent co2 assimilation rate. Unit: mg co2 g(FW)^-1 h^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
area-based light-saturated rate of net photosythesis,NA,micromol m^-2 s^-1,Malpighiales,Salicaceae,NA,Trait: area-based light-saturated rate of net photosythesis. Unit: micromol m^-2 s^-1. Organism order: Malpighiales. Organism family: Salicaceae.,v5,13
mass-based light-saturated rate of net photosynthesis,NA,nmol g^-1 s^-1,Malpighiales,Salicaceae,NA,Trait: mass-based light-saturated rate of net photosynthesis. Unit: nmol g^-1 s^-1. Organism order: Malpighiales. Organism family: Salicaceae.,v5,13
co2 and light saturated rates of gross photosynthesis,NA,micromol m^-2 s^-1,Fabales,Fabaceae,22 days,Trait: co2 and light saturated rates of gross photosynthesis. Unit: micromol m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,13
maximum rate of net photosynthesis,NA,micromol m^-2 s^-1,Fagales,Fagaceae,mature current year,Trait: maximum rate of net photosynthesis. Unit: micromol m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,13
photosynthesis,NA,micromol m^-2 s^-1,Asterales,Asteraceae,NA,Trait: photosynthesis. Unit: micromol m^-2 s^-1. Organism order: Asterales. Organism family: Asteraceae.,v5,13
co2 exchange (photosynthesis),NA,nmol co2 cm^-2 s^-1,Zygophyllales,Zygophyllaceae,1-2 years old,Trait: co2 exchange (photosynthesis). Unit: nmol co2 cm^-2 s^-1. Organism order: Zygophyllales. Organism family: Zygophyllaceae.,v5,13
"net photosynthesis, oxygen evolved",NA,micromol m^-2 s^-1,Bangiales,Bangiaceae,NA,"Trait: net photosynthesis, oxygen evolved. Unit: micromol m^-2 s^-1. Organism order: Bangiales. Organism family: Bangiaceae.",v5,13
gross photosynthesis,NA,micromol o2 mg(Chl)^-1 h^-1,Klebsormidiales,Klebsormidiaceae,NA,Trait: gross photosynthesis. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Klebsormidiales. Organism family: Klebsormidiaceae.,v5,13
log gross photosynthesis activity,NA,micromol o2 mg(Chl)^-1 h^-1,Chlorellales,Chlorellaceae,NA,Trait: log gross photosynthesis activity. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Chlorellales. Organism family: Chlorellaceae.,v5,13
net co2 assimilation,NA,micromol m^-2 s^-1,Solanales,Convolvulaceae,most recent fully expanded,Trait: net co2 assimilation. Unit: micromol m^-2 s^-1. Organism order: Solanales. Organism family: Convolvulaceae.,v5,13
net photosynthesis (Am),NA,micromol m^-2 s^-1,Poales,Poaceae,fully expanded young,Trait: net photosynthesis (Am). Unit: micromol m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
apparent photosynthesis,NA,micromol o2 g(DW)^-1 min^-1,Gigartinales,Gigartinaceae,NA,Trait: apparent photosynthesis. Unit: micromol o2 g(DW)^-1 min^-1. Organism order: Gigartinales. Organism family: Gigartinaceae.,v5,13
net co2 exchange rate,NA,microl co2 m^-2 s^-1,Poales,Poaceae,fully expanded,Trait: net co2 exchange rate. Unit: microl co2 m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
gross photosynthetic rate,NA,micromol m^-2 s^-1,Fagales,Fagaceae,NA,Trait: gross photosynthetic rate. Unit: micromol m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,13
photosynthetic activity,NA,micromol o2 mg(Chl)^-1 h^-1,Synechococcales,Merismopediaceae,NA,Trait: photosynthetic activity. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Synechococcales. Organism family: Merismopediaceae.,v5,13
photosynthetic capacity,NA,mmol e^- [mg chl a]^-1 h^-1,Thalassiosirales,Thalassiosiraceae,NA,Trait: photosynthetic capacity. Unit: mmol e^- [mg chl a]^-1 h^-1. Organism order: Thalassiosirales. Organism family: Thalassiosiraceae.,v5,13
apparent photosynthetic 02 evolution,NA,microg o2 mg(Chl)^-1 min^-1,Alismatales,Hydrocharitaceae,NA,Trait: apparent photosynthetic 02 evolution. Unit: microg o2 mg(Chl)^-1 min^-1. Organism order: Alismatales. Organism family: Hydrocharitaceae.,v5,13
rate of gross photosynthesis,NA,microg C cm^-2 h^-1,Alismatales,Cymodoceaceae,NA,Trait: rate of gross photosynthesis. Unit: microg C cm^-2 h^-1. Organism order: Alismatales. Organism family: Cymodoceaceae.,v5,13
net CO2 uptake rate,NA,nmol co2 cm^-2 s^-1,Caryophyllales,Amaranthaceae,NA,Trait: net CO2 uptake rate. Unit: nmol co2 cm^-2 s^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
net CO2 fixation rate,NA,micromol m^-2 s^-1,Poales,Poaceae,NA,Trait: net CO2 fixation rate. Unit: micromol m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
net photosynthesis rate,NA,nmol CO2 cm^-2 s^-1,Asterales,Asteraceae,NA,Trait: net photosynthesis rate. Unit: nmol CO2 cm^-2 s^-1. Organism order: Asterales. Organism family: Asteraceae.,v5,13
net CO2 assimilation rate,NA,micromol co2 m^-2 s^-1,Malvales,Malvaceae,NA,Trait: net CO2 assimilation rate. Unit: micromol co2 m^-2 s^-1. Organism order: Malvales. Organism family: Malvaceae.,v5,13
co2 uptake,NA,micromol co2 g(FW)^-1 h^-1,Alismatales,Araceae,NA,Trait: co2 uptake. Unit: micromol co2 g(FW)^-1 h^-1. Organism order: Alismatales. Organism family: Araceae.,v5,13
relative net photosynthesis,NA,?,Saxifragales,Haloragaceae,NA,Trait: relative net photosynthesis. Unit: ?. Organism order: Saxifragales. Organism family: Haloragaceae.,v5,13
maximum photosynthetic capacity,NA,micromol o2 mg(Chl a)^-1 h^-1,Bacillariales,Bacillariaceae,NA,Trait: maximum photosynthetic capacity. Unit: micromol o2 mg(Chl a)^-1 h^-1. Organism order: Bacillariales. Organism family: Bacillariaceae.,v5,13
observed co2 uptake rates,NA,micromol m^-2 s^-1,Alismatales,Zosteraceae,NA,Trait: observed co2 uptake rates. Unit: micromol m^-2 s^-1. Organism order: Alismatales. Organism family: Zosteraceae.,v5,13
light-saturated net photosynthesis,NA,micromol co2 g^-1 min^-1,Gigartinales,Phyllophoraceae,NA,Trait: light-saturated net photosynthesis. Unit: micromol co2 g^-1 min^-1. Organism order: Gigartinales. Organism family: Phyllophoraceae.,v5,13
apparent net photosynthesis,NA,microg C cm^-2 h^-1,Desmarestiales,Desmarestiaceae,NA,Trait: apparent net photosynthesis. Unit: microg C cm^-2 h^-1. Organism order: Desmarestiales. Organism family: Desmarestiaceae.,v5,13
rate of photosynthesis,NA,mm^3 o2 cm^-2 h^-1,Chlorellales,Chlorellaceae,NA,Trait: rate of photosynthesis. Unit: mm^3 o2 cm^-2 h^-1. Organism order: Chlorellales. Organism family: Chlorellaceae.,v5,13
CO2 uptake rate,NA,mg co2 h^-1 g^-1,Poales,Cyperaceae,NA,Trait: CO2 uptake rate. Unit: mg co2 h^-1 g^-1. Organism order: Poales. Organism family: Cyperaceae.,v5,13
cell-specific photosynthesis rate,NA,fmol C cell^-1 min^-1,Naviculales,Phaeodactylaceae,NA,Trait: cell-specific photosynthesis rate. Unit: fmol C cell^-1 min^-1. Organism order: Naviculales. Organism family: Phaeodactylaceae.,v5,13
net co2 flux density,NA,micromol m^-2 s^-1,Fagales,Betulaceae,mature,Trait: net co2 flux density. Unit: micromol m^-2 s^-1. Organism order: Fagales. Organism family: Betulaceae.,v5,13
net assimilation,NA,micromol m^-2 s^-1,Fagales,Fagaceae,mature,Trait: net assimilation. Unit: micromol m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,13
photosynthesis rate,NA,micromol co2 m^-2 s^-1,Poales,Poaceae,35-days old leaves,Trait: photosynthesis rate. Unit: micromol co2 m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
relative net phtotsynthesis,NA,nanomol co2 g^-1 s^-1,Fagales,Nothofagaceae,3-year old leaves,Trait: relative net phtotsynthesis. Unit: nanomol co2 g^-1 s^-1. Organism order: Fagales. Organism family: Nothofagaceae.,v5,13
net co2 echange,NA,micromol m^-2 s^-1,Myrtales,Onagraceae,mature,Trait: net co2 echange. Unit: micromol m^-2 s^-1. Organism order: Myrtales. Organism family: Onagraceae.,v5,13
photosynthetic o2 evolution,NA,micromol m^-2 s^-1,Poales,Poaceae,NA,Trait: photosynthetic o2 evolution. Unit: micromol m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
co2 exchange,NA,mg co2 hr^-1 g dry wt^-1,Poales,Poaceae,2.5 weeks after anthesis,Trait: co2 exchange. Unit: mg co2 hr^-1 g dry wt^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
Amax,light-saturated net rate of CO2 assimilation,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: Amax. Definition: light-saturated net rate of CO2 assimilation. Unit: micromol CO2 m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,-1
Net assimilation rate,light-saturated photosynthesis,micromol m^-2 s^-1,Malpighiales,Salicaceae,2.5 month-old,Trait: Net assimilation rate. Definition: light-saturated photosynthesis. Unit: micromol m^-2 s^-1. Organism order: Malpighiales. Organism family: Salicaceae.,v5,13
Anet,net rate of CO2 assimilation,micromol CO2 m^-2 s^-1,Caryophyllales,Amaranthaceae,2-month-old,Trait: Anet. Definition: net rate of CO2 assimilation. Unit: micromol CO2 m^-2 s^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
Pn,photosynthetic rate,micromol CO2 m^-2 s^-1,Poales,Poaceae,NA,Trait: Pn. Definition: photosynthetic rate. Unit: micromol CO2 m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
An272,net photosynthetic rate at common ambient [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: An272. Definition: net photosynthetic rate at common ambient [CO2]. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Meliaceae.,v5,13
An408,net photosynthetic rate at common elevated [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: An408. Definition: net photosynthetic rate at common elevated [CO2]. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Meliaceae.,v5,13
AnT,net photosynthetic rate in ambient [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: AnT. Definition: net photosynthetic rate in ambient [CO2]. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Meliaceae.,v5,13
AnT,net photosynthetic rate in elevated [CO2],micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: AnT. Definition: net photosynthetic rate in elevated [CO2]. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Meliaceae.,v5,13
Net A,net CO2 assimilation rate,micromol m^-2 s^-1,Solanales,Solanaceae,NA,Trait: Net A. Definition: net CO2 assimilation rate. Unit: micromol m^-2 s^-1. Organism order: Solanales. Organism family: Solanaceae.,v5,13
A,net CO2 assimilation rate,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: A. Definition: net CO2 assimilation rate. Unit: micromol m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,13
Net assimilation rate,net CO2 ssimilation rate,micromol CO2 m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Net assimilation rate. Definition: net CO2 ssimilation rate. Unit: micromol CO2 m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,13
photosynthetic O2 evolution rate,NA,micromol o2 m^-2 s^-1,Caryophyllales,Amaranthaceae,NA,Trait: photosynthetic O2 evolution rate. Unit: micromol o2 m^-2 s^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
maximum photosynthesis rate,NA,micromol o2 m^-2 s^-1,Saxifragales,Saxifragaceae,NA,Trait: maximum photosynthesis rate. Unit: micromol o2 m^-2 s^-1. Organism order: Saxifragales. Organism family: Saxifragaceae.,v5,13
oxygen evolution rate,NA,micromol o2 mg(Chl)^-1 h^-1,Synechococcales,Merismopediaceae,NA,Trait: oxygen evolution rate. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Synechococcales. Organism family: Merismopediaceae.,v5,13
maximum net photosynthesis rate,NA,mg o2 g(DW)^-1 h^-1,Bonnemaisoniales,Bonnemaisoniaceae,NA,Trait: maximum net photosynthesis rate. Unit: mg o2 g(DW)^-1 h^-1. Organism order: Bonnemaisoniales. Organism family: Bonnemaisoniaceae.,v5,13
Chl a-normalised gross photosynthesis rate,NA,g C g(Chl a)^-1 h^-1,Sphaeropleales,Scenedesmaceae,NA,Trait: Chl a-normalised gross photosynthesis rate. Unit: g C g(Chl a)^-1 h^-1. Organism order: Sphaeropleales. Organism family: Scenedesmaceae.,v5,13
log gross photosynthetic activity,NA,micromol o2 mg^-1 chl h-1,Klebsormidiales,Klebsormidiaceae,NA,Trait: log gross photosynthetic activity. Unit: micromol o2 mg^-1 chl h-1. Organism order: Klebsormidiales. Organism family: Klebsormidiaceae.,v5,13
net maximum primary production,NA,mg o2 g leaf^-1 h^-1,Alismatales,Posidoniaceae,NA,Trait: net maximum primary production. Unit: mg o2 g leaf^-1 h^-1. Organism order: Alismatales. Organism family: Posidoniaceae.,v5,13
o2 evolution,NA,micromol (mg chl)^-1 h^-1,Oscillatoriales,NA,NA,Trait: o2 evolution. Unit: micromol (mg chl)^-1 h^-1. Organism order: Oscillatoriales.,v5,13
Mass-Specific Photosynthetic Oxygen Production Rate,Organic biomass-specific oxygen mass production rate through photosynthesis,milligram / (1 gram (body mass - dry) * 1 hour),Bryopsidales,Caulerpaceae,adult,Trait: Mass-Specific Photosynthetic Oxygen Production Rate. Definition: Organic biomass-specific oxygen mass production rate through photosynthesis. Unit: milligram / (1 gram (body mass - dry) * 1 hour). Organism order: Bryopsidales. Organism family: Caulerpaceae.,v5,13
Surface Area-Specific Photosynthetic Oxygen Production Rate,Surface area-specific oxygen production rate through photosynthesis,gram / (1 square meter * 1 second),Proteales,Proteaceae,adult,Trait: Surface Area-Specific Photosynthetic Oxygen Production Rate. Definition: Surface area-specific oxygen production rate through photosynthesis. Unit: gram / (1 square meter * 1 second). Organism order: Proteales. Organism family: Proteaceae.,v5,13
POC Photosynthetic Oxygen Production Rate,Carbon-specific (POC) oxygen production rate through photosynthesis measured as mass of oxygen per mass of POC per time,gram / (1 milligram * 1 hour),Prorocentrales,Prorocentraceae,NA,Trait: POC Photosynthetic Oxygen Production Rate. Definition: Carbon-specific (POC) oxygen production rate through photosynthesis measured as mass of oxygen per mass of POC per time. Unit: gram / (1 milligram * 1 hour). Organism order: Prorocentrales. Organism family: Prorocentraceae.,v5,-1
Mass-Specific Respiration Rate,Organic mass-specific oxygen mass consumption rate during respiration,gram / (1 gram (body mass - dry) * 1 hour),Corallinales,Corallinaceae,NA,Trait: Mass-Specific Respiration Rate. Definition: Organic mass-specific oxygen mass consumption rate during respiration. Unit: gram / (1 gram (body mass - dry) * 1 hour). Organism order: Corallinales. Organism family: Corallinaceae.,v5,12
change in o2 (respiration),NA,mg o2 (10 minutes^-1),Scleractinia,Pocilloporidae,NA,Trait: change in o2 (respiration). Unit: mg o2 (10 minutes^-1). Organism order: Scleractinia. Organism family: Pocilloporidae.,v5,-1
dark respiration,NA,micromol o2 dm^-2 min^-1,Alismatales,Zosteraceae,NA,Trait: dark respiration. Unit: micromol o2 dm^-2 min^-1. Organism order: Alismatales. Organism family: Zosteraceae.,v5,13
respiration / specific growth rate,NA,micro (day^-1),Cladophorales,Cladophoraceae,inocolum,Trait: respiration / specific growth rate. Unit: micro (day^-1). Organism order: Cladophorales. Organism family: Cladophoraceae.,v5,13
respiration,NA,micromol o2 mg(Chl)^-1 h^-1,Klebsormidiales,Klebsormidiaceae,NA,Trait: respiration. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Klebsormidiales. Organism family: Klebsormidiaceae.,v5,13
respiratory activity,NA,micromol o2 mg(Chl)^-1 h^-1,NA,NA,NA,Trait: respiratory activity. Unit: micromol o2 mg(Chl)^-1 h^-1.,v5,13
o2 uptake in the dark,NA,microg o2 mg(Chl)^-1 min^-1,Alismatales,Hydrocharitaceae,NA,Trait: o2 uptake in the dark. Unit: microg o2 mg(Chl)^-1 min^-1. Organism order: Alismatales. Organism family: Hydrocharitaceae.,v5,13
dark respiration rate,NA,mmol kg^-1 h^-1,Caryophyllales,Droseraceae,NA,Trait: dark respiration rate. Unit: mmol kg^-1 h^-1. Organism order: Caryophyllales. Organism family: Droseraceae.,v5,13
respiration rate,NA,microl o2 g(DW)^-1 h^-1,Ceramiales,Rhodomelaceae,NA,Trait: respiration rate. Unit: microl o2 g(DW)^-1 h^-1. Organism order: Ceramiales. Organism family: Rhodomelaceae.,v5,13
night respiration,NA,%,Asterales,Asteraceae,NA,Trait: night respiration. Unit: %. Organism order: Asterales. Organism family: Asteraceae.,v5,-1
normalised co2 flux,NA,?,Pinales,Pinaceae,NA,Trait: normalised co2 flux. Unit: ?. Organism order: Pinales. Organism family: Pinaceae.,v5,-1
Surface Area-Specific Dark Respiration Rate,Surface area-specific carbon dioxide produced during dark respiration,gram / (1 square centimeter * 1 second),Fagales,Fagaceae,adult,Trait: Surface Area-Specific Dark Respiration Rate. Definition: Surface area-specific carbon dioxide produced during dark respiration. Unit: gram / (1 square centimeter * 1 second). Organism order: Fagales. Organism family: Fagaceae.,v5,13
Surface Area-Specific Mitochondrial Respiration Rate,Surface-area specific respiration rate in leaf mitochondria during photosynthesis,gram / (1 square centimeter * 1 second),Myrtales,Myrtaceae,juvenile,Trait: Surface Area-Specific Mitochondrial Respiration Rate. Definition: Surface-area specific respiration rate in leaf mitochondria during photosynthesis. Unit: gram / (1 square centimeter * 1 second). Organism order: Myrtales. Organism family: Myrtaceae.,v5,13
root respiration rate,NA,micromol co2 kg^-1 s^-1,Asparagales,Asparagaceae,2 years old,Trait: root respiration rate. Unit: micromol co2 kg^-1 s^-1. Organism order: Asparagales. Organism family: Asparagaceae.,v5,13
leaf respiration,NA,micromol co2 m^-2 s^-1,Myrtales,Myrtaceae,NA,Trait: leaf respiration. Unit: micromol co2 m^-2 s^-1. Organism order: Myrtales. Organism family: Myrtaceae.,v5,13
co2 exchange (respiration),NA,nmol co2 cm^-2 s^-1,Zygophyllales,Zygophyllaceae,NA,Trait: co2 exchange (respiration). Unit: nmol co2 cm^-2 s^-1. Organism order: Zygophyllales. Organism family: Zygophyllaceae.,v5,13
dark co2 efflux,NA,micromol m^-2 s^-1,Poales,Poaceae,"mature wheat, 30 days old",Trait: dark co2 efflux. Unit: micromol m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
day respiration rate,NA,micromol m^-2 s^-1,Pinales,Pinaceae,1 year old,Trait: day respiration rate. Unit: micromol m^-2 s^-1. Organism order: Pinales. Organism family: Pinaceae.,v5,13
respiration after photosynthesis,NA,micromol co2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,"old plants, 4-6 week",Trait: respiration after photosynthesis. Unit: micromol co2 mg(Chl)^-1 h^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
respiration after dark period,NA,micromol co2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,"old plants, 4-6 week",Trait: respiration after dark period. Unit: micromol co2 mg(Chl)^-1 h^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
respiration before photosynthesis,NA,micromol o2 mg(Chl)^-1 h^-1,Caryophyllales,Amaranthaceae,"old plants, 4-6 week",Trait: respiration before photosynthesis. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
root respiration,NA,micromol co2 kg^-1 s^-1,Caryophyllales,Cactaceae,NA,Trait: root respiration. Unit: micromol co2 kg^-1 s^-1. Organism order: Caryophyllales. Organism family: Cactaceae.,v5,13
Area-based respiration rate,NA,micromol m^-2 s^-1,Sapindales,Aceraceae,NA,Trait: Area-based respiration rate. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Aceraceae.,v5,13
Mass-based respiration rate,NA,nmol g^-1 s^-1,Sapindales,Aceraceae,NA,Trait: Mass-based respiration rate. Unit: nmol g^-1 s^-1. Organism order: Sapindales. Organism family: Aceraceae.,v5,13
total co2 produced,NA,mg c g(DW)^-1,Fabales,Fabaceae,4-7 weeks old,Trait: total co2 produced. Unit: mg c g(DW)^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,13
co2 production rate,NA,microW mg^-1,Solanales,Solanaceae,NA,Trait: co2 production rate. Unit: microW mg^-1. Organism order: Solanales. Organism family: Solanaceae.,v5,-1
oxygen evolution rate in thylakoid membranes,NA,micromol o2 mg(Chl)^-1 h^-1,Synechococcales,Merismopediaceae,NA,Trait: oxygen evolution rate in thylakoid membranes. Unit: micromol o2 mg(Chl)^-1 h^-1. Organism order: Synechococcales. Organism family: Merismopediaceae.,v5,13
dark capacity respiration rate,NA,micromol O2 g^-1 h^-1,Alismatales,Zosteraceae,NA,Trait: dark capacity respiration rate. Unit: micromol O2 g^-1 h^-1. Organism order: Alismatales. Organism family: Zosteraceae.,v5,13
o2 consumption,NA,micromol g^-1 h^-1,Poales,Poaceae,NA,Trait: o2 consumption. Unit: micromol g^-1 h^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
o2 uptake,NA,micromol (mg chl)^-1 h^-1,Oscillatoriales,NA,NA,Trait: o2 uptake. Unit: micromol (mg chl)^-1 h^-1. Organism order: Oscillatoriales.,v5,13
oxygen consumption,NA,micromol g^-1 s^-1,Alismatales,Araceae,NA,Trait: oxygen consumption. Unit: micromol g^-1 s^-1. Organism order: Alismatales. Organism family: Araceae.,v5,13
Vcmax,light-saturated in vivo Rubisco carboxylation rate,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: Vcmax. Definition: light-saturated in vivo Rubisco carboxylation rate. Unit: micromol CO2 m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,8
Agross,light-saturated gross rate CO2 assimilation,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: Agross. Definition: light-saturated gross rate CO2 assimilation. Unit: micromol CO2 m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,-1
RL,photorespiration rate at saturating irradiance,micromol CO2 m^-2 s^-1,Fagales,Fagaceae,sapling,Trait: RL. Definition: photorespiration rate at saturating irradiance. Unit: micromol CO2 m^-2 s^-1. Organism order: Fagales. Organism family: Fagaceae.,v5,13
Leaf Respiration rate,CO2 respiratory release,micromol CO2 m^-2 s^-1,Myrtales,Myrtaceae,3-year-old,Trait: Leaf Respiration rate. Definition: CO2 respiratory release. Unit: micromol CO2 m^-2 s^-1. Organism order: Myrtales. Organism family: Myrtaceae.,v5,13
Germination rate,reciprocal of time to reach cumulative germination percentage to 50% of total germinated seeds,1/h,Ranunculales,Papaveraceae,NA,Trait: Germination rate. Definition: reciprocal of time to reach cumulative germination percentage to 50% of total germinated seeds. Unit: 1/h. Organism order: Ranunculales. Organism family: Papaveraceae.,v5,3
Jmax,maximum electron transport rate,micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: Jmax. Definition: maximum electron transport rate. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Meliaceae.,v5,8
Vcmax,maximum rate of Rubisco carboxylation,micromol m^-2 s^-1,Sapindales,Meliaceae,NA,Trait: Vcmax. Definition: maximum rate of Rubisco carboxylation. Unit: micromol m^-2 s^-1. Organism order: Sapindales. Organism family: Meliaceae.,v5,8
Rds,rate of respiration in the dark,micromol m^-2 s^-1,Malpighiales,Salicaceae,2.5 month-old,Trait: Rds. Definition: rate of respiration in the dark. Unit: micromol m^-2 s^-1. Organism order: Malpighiales. Organism family: Salicaceae.,v5,13
Rn,respiration rate in the dark,micromol m^-2 s^-1,Caryophyllales,Amaranthaceae,2-month-old,Trait: Rn. Definition: respiration rate in the dark. Unit: micromol m^-2 s^-1. Organism order: Caryophyllales. Organism family: Amaranthaceae.,v5,13
Flowering rate,reciprocal of the time taken for a given fraction of the seed population to flower,1/d,Asterales,Asteraceae,NA,Trait: Flowering rate. Definition: reciprocal of the time taken for a given fraction of the seed population to flower. Unit: 1/d. Organism order: Asterales. Organism family: Asteraceae.,v5,3
Shoot respiration,rate of shoot respiration in the dark,nanomol CO2 g^-1 s^-1,Fagales,Betulaceae,shoot,Trait: Shoot respiration. Definition: rate of shoot respiration in the dark. Unit: nanomol CO2 g^-1 s^-1. Organism order: Fagales. Organism family: Betulaceae.,v5,13
Germination rate,inverse of time span for 50% germination,NA,Apiales,Apiaceae,NA,Trait: Germination rate. Definition: inverse of time span for 50% germination. Organism order: Apiales. Organism family: Apiaceae.,v5,3
R,respiration rate in the dark,micromol CO2 m^-2 s^-1,Poales,Poaceae,NA,Trait: R. Definition: respiration rate in the dark. Unit: micromol CO2 m^-2 s^-1. Organism order: Poales. Organism family: Poaceae.,v5,13
J,in vivo electron transport rate,micromol m^-2 s^-1,Solanales,Solanaceae,NA,Trait: J. Definition: in vivo electron transport rate. Unit: micromol m^-2 s^-1. Organism order: Solanales. Organism family: Solanaceae.,v5,-1
Maximum cumulative germination,% of seeds germinated,%,Fabales,Fabaceae,NA,Trait: Maximum cumulative germination. Definition: % of seeds germinated. Unit: %. Organism order: Fabales. Organism family: Fabaceae.,v5,3
Germination rate,days after sowing to 75% of final germination,DAS75^-1,Poales,Poaceae,NA,Trait: Germination rate. Definition: days after sowing to 75% of final germination. Unit: DAS75^-1. Organism order: Poales. Organism family: Poaceae.,v5,3
Germination rate,inverse of the number of days to 50% germination,1/day,Apiales,Apiaceae,NA,Trait: Germination rate. Definition: inverse of the number of days to 50% germination. Unit: 1/day. Organism order: Apiales. Organism family: Apiaceae.,v5,3
Germination rate,final cumulative germination percentage,%,Fabales,Fabaceae,NA,Trait: Germination rate. Definition: final cumulative germination percentage. Unit: %. Organism order: Fabales. Organism family: Fabaceae.,v5,3
Emergence rate,inverse of days from sowing date,1/day,Poales,Poaceae,NA,Trait: Emergence rate. Definition: inverse of days from sowing date. Unit: 1/day. Organism order: Poales. Organism family: Poaceae.,v5,3
Rd,day respiration rate in illuminated leaf,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Rd. Definition: day respiration rate in illuminated leaf. Unit: micromol m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,13
Vcmax,maximum carboxylation rate,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Vcmax. Definition: maximum carboxylation rate. Unit: micromol m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,8
Vomax,maximum rate of oxygenation of Rubisco,micromol m^-2 s^-1,Fabales,Fabaceae,NA,Trait: Vomax. Definition: maximum rate of oxygenation of Rubisco. Unit: micromol m^-2 s^-1. Organism order: Fabales. Organism family: Fabaceae.,v5,8
