OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,Interactor1Stage,text,version,cluster_id
Weight,mean weight of larvae during their feeding period,mg,Ixodida,Ixodidae,larvae,Trait: Weight. Definition: mean weight of larvae during their feeding period. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,7
Weight,mean weight of nymphs during their feeding period,mg,Ixodida,Ixodidae,nymph,Trait: Weight. Definition: mean weight of nymphs during their feeding period. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,7
Weight,mean weight of engorged nymphs moulting to males,mg,Ixodida,Ixodidae,nymph,Trait: Weight. Definition: mean weight of engorged nymphs moulting to males. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,7
Incubation Period,Incubation period of ticks held at constant temperature,days,Ixodida,Ixodidae,egg,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Ixodida,Ixodidae,nymph,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,16
Feeding Period,number of days required for nymphs to fully engorge,days,Ixodida,Ixodidae,nymph,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,17
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Ixodida,Ixodidae,nymph,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: mean Incubation Period in days from egg to larvae at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
feeding period,mean Feeding Period in days at larval state at constant temps,days,Ixodida,Ixodidae,larva,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,17
premolting period,mean Premolting Period in days at larval state at const temps,days,Ixodida,Ixodidae,larva,Trait: premolting period. Definition: mean Premolting Period in days at larval state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,16
feeding period,mean Feeding Period in days at nymph state at constant temps,days,Ixodida,Ixodidae,nymph,Trait: feeding period. Definition: mean Feeding Period in days at nymph state at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,17
premolting period,mean Premolting Period in days at nymph state at constant temps,days,Ixodida,Ixodidae,nymph,Trait: premolting period. Definition: mean Premolting Period in days at nymph state at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,16
feeding period,mean Feeding Period in days at adult female state at const temps,days,Ixodida,Ixodidae,adult,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,17
preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean Preoviposition Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
oviposition period,mean Oviposition Period in days at adult female state at const temps,days,Ixodida,Ixodidae,adult,Trait: oviposition period. Definition: mean Oviposition Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
weight,Mean weight on day of hatching,ug,Ixodida,Ixodidae,larva,Trait: weight. Definition: Mean weight on day of hatching. Unit: ug. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,7
weight,Mean weight 14 days after hatching,ug,Ixodida,Ixodidae,larva,Trait: weight. Definition: Mean weight 14 days after hatching. Unit: ug. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,7
weight,Mean weight on day of engorgement,ug,Ixodida,Ixodidae,larva,Trait: weight. Definition: Mean weight on day of engorgement. Unit: ug. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,7
weight loss,Percentage loss in body weight during larval prefeeding period,percent,Ixodida,Ixodidae,larva,Trait: weight loss. Definition: Percentage loss in body weight during larval prefeeding period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,5
weight loss,Percentage loss in body weight during larval molting period,percent,Ixodida,Ixodidae,larva,Trait: weight loss. Definition: Percentage loss in body weight during larval molting period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,5
weight loss,Percentage loss in body weight during nymphal prefeeding period,percent,Ixodida,Ixodidae,nymph,Trait: weight loss. Definition: Percentage loss in body weight during nymphal prefeeding period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,5
weight loss,Percentage loss in body weight during nymphal molting period,percent,Ixodida,Ixodidae,nymph,Trait: weight loss. Definition: Percentage loss in body weight during nymphal molting period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,5
weight loss,Percentage loss in body weight during female prefeeding period,percent,Ixodida,Ixodidae,adult,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,5
weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",mg,Ixodida,Ixodidae,nymph,"Trait: weight. Definition: Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity"". Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.",v6,8
weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Ixodida,Ixodidae,adult,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,8
weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Ixodida,Ixodidae,adult,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,8
weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Ixodida,Ixodidae,adult,Trait: weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,8
weight,Mean egg mass,mg,Ixodida,Ixodidae,adult,Trait: weight. Definition: Mean egg mass. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
Efficency,Percent weight transfered from engorged female at constant temperature to mass of eggs,percent,Ixodida,Ixodidae,adult,Trait: Efficency. Definition: Percent weight transfered from engorged female at constant temperature to mass of eggs. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
Weight,Weight of undisturbed female Hyalomma impeltatum after molting,mg,Ixodida,Ixodidae,adult,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after molting. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,8
Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),mg,Ixodida,Ixodidae,adult,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt). Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,8
Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,mg,Ixodida,Ixodidae,adult,Trait: Weight. Definition: Weight of undisturbed female Hyalomma impeltatum after engorgement. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,8
egg mass,Mean egg mass by oviposition day of females raised at constant temps,mg,Ixodida,Ixodidae,adult,Trait: egg mass. Definition: Mean egg mass by oviposition day of females raised at constant temps. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean time required for an engorged female tick to begin laying eggs. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva). Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
hardening period,mean time for a tick to become hardened,days,Ixodida,Ixodidae,adult,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
feeding period,mean time required for nymphs to feed,days,Ixodida,Ixodidae,nymph,Trait: feeding period. Definition: mean time required for nymphs to feed. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,17
moulting period,mean time required for nymphs to moult,days,Ixodida,Ixodidae,nymph,Trait: moulting period. Definition: mean time required for nymphs to moult. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,16
engorgement period,mean time required for females to become engorged,days,Ixodida,Ixodidae,adult,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
body size,mean weight of engorged tick,mg,Ixodida,Ixodidae,adult,Trait: body size. Definition: mean weight of engorged tick. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
egg mass,mean weight of eggs,mg,Ixodida,Ixodidae,egg,Trait: egg mass. Definition: mean weight of eggs. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,7
egg count,mean number of eggs layed,mg,Ixodida,Ixodidae,adult,Trait: egg count. Definition: mean number of eggs layed. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
body size,mean weight of engored nymphs,mg,Ixodida,Ixodidae,nymph,Trait: body size. Definition: mean weight of engored nymphs. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,7
hatchability,the percent of laid eggs that successfully hatched,percent,Ixodida,Ixodidae,egg,Trait: hatchability. Definition: the percent of laid eggs that successfully hatched. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
conversion efficiency,the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs,ratio,Ixodida,Ixodidae,adult,Trait: conversion efficiency. Definition: the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs. Unit: ratio. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
survival time,mean time for egg survival,days,Ixodida,Ixodidae,egg,Trait: survival time. Definition: mean time for egg survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,10
survival time,mean time for unfed larva survival,days,Ixodida,Ixodidae,larval,Trait: survival time. Definition: mean time for unfed larva survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,10
survival time,mean time for engorged nymph survival,days,Ixodida,Ixodidae,nymph,Trait: survival time. Definition: mean time for engorged nymph survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,10
survival time,mean time for unfed adult survival,days,Ixodida,Ixodidae,adult,Trait: survival time. Definition: mean time for unfed adult survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,10
survival time,mean time for engorged adult survival,days,Ixodida,Ixodidae,adult,Trait: survival time. Definition: mean time for engorged adult survival. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,10
survival rate,percentage of unfed adults that survive,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
survival rate,percentage of ticks that survived at 5 degrees celcius,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percentage of ticks that survived at 5 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
survival rate,percentage of ticks that survived at 17 degrees celcius,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percentage of ticks that survived at 17 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
survival rate,percentage of ticks that survived at 24 degrees celcius,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percentage of ticks that survived at 24 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
survival rate,percentage of ticks that survived at 30 degrees celcius,percent,Ixodida,Ixodidae,adult,Trait: survival rate. Definition: percentage of ticks that survived at 30 degrees celcius. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,12
percent moult,percentage moulted engorged on calves,days,Ixodida,Ixodidae,adult,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
premolting period,average pre-moulting period engorged on calves,days,Ixodida,Ixodidae,adult,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,16
survival time,average number of days unfed nymphs survived,days,Ixodida,Ixodidae,larvae,Trait: survival time. Definition: average number of days unfed nymphs survived. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,10
percent moult,percentage moulted engorged on rabbits,percent,Ixodida,Ixodidae,nymph,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
engorgement period,average duration of engorgement on calves,days,Ixodida,Ixodidae,larvae,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,-1
engorgement period,average duration of engorgement on rabbits,days,Ixodida,Ixodidae,larvae,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,-1
hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,Ixodida,Ixodidae,egg,Trait: hatchability. Definition: percent of eggs successfully hatching based on the day of oviposition during which it was laid. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
feeding time,time required for larval ticks to reach engorgement post attachment,days,Ixodida,Ixodidae,larval,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,-1
molting period,time required for engorged larval ticks to molt,days,Ixodida,Ixodidae,larval,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,16
survival rate,percentage of larval ticks that molted following engorgement,percent,Ixodida,Ixodidae,larval,Trait: survival rate. Definition: percentage of larval ticks that molted following engorgement. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larval.,v6,12
preoviposition period,mean time until onset of oviposition,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: mean time until onset of oviposition. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
pre hatching period,mean time until hatching,days,Ixodida,Ixodidae,adult,Trait: pre hatching period. Definition: mean time until hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
hatching period,mean time from initiation to completion of hatching,days,Ixodida,Ixodidae,adult,Trait: hatching period. Definition: mean time from initiation to completion of hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
egg conversion ratio,mean weight of eggs / mean weight of engorged females,percent,Ixodida,Ixodidae,NA,Trait: egg conversion ratio. Definition: mean weight of eggs / mean weight of engorged females. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: not specified.,v6,2
hatchability,percent surviving life stage,percent,Ixodida,Ixodidae,egg,Trait: hatchability. Definition: percent surviving life stage. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
questing,mean percent of ticks questing,percent,Ixodida,Ixodidae,nymph,Trait: questing. Definition: mean percent of ticks questing. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
preoviposition,Mean preoviposition period in days,days,Ixodida,Ixodidae,adult,Trait: preoviposition. Definition: Mean preoviposition period in days. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
oviposition,Mean ovipostion period in days,days,Ixodida,Ixodidae,adult,Trait: oviposition. Definition: Mean ovipostion period in days. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
conversion efficiency,Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100,percent,Ixodida,Ixodidae,adult,Trait: conversion efficiency. Definition: Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,2
egg hatch,Mean percentage of eggs hatched,percent,Ixodida,Ixodidae,egg,Trait: egg hatch. Definition: Mean percentage of eggs hatched. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,4
incubation period,mean egg incubation period,days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: mean egg incubation period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Ixodida,Ixodidae,adult,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Ixodida,Ixodidae,nymph,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Distance Traveled,Average distance covered per hour while questing,mm,Ixodida,Ixodidae,nymph,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Ixodida,Ixodidae,nymph,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Ixodida,Ixodidae,nymph,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Mortality Rate,number that survived the 38 hours,count,Ixodida,Ixodidae,nymph,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Mortality Rate,number that survived the 43 hours,count,Ixodida,Ixodidae,nymph,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,Ixodida,Ixodidae,adult,Trait: Water loss. Definition: Water loss of ticks exposed to dry air for 24 hours. Unit: mg/cm2. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,Ixodida,Ixodidae,adult,Trait: Weight loss. Definition: Weight loss of ticks exposed to dry air for 24 hours. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,Ixodida,Ixodidae,adult,Trait: Water loss. Definition: Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins. Unit: mg/cm2. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Development time,Mean time from engorgement to moulting,days,Ixodida,Ixodidae,larva,Trait: Development time. Definition: Mean time from engorgement to moulting. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,15
Mortality Rate,Percent mortality in engorged ticks before moulting,percent,Ixodida,Ixodidae,larva,Trait: Mortality Rate. Definition: Percent mortality in engorged ticks before moulting. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,-1
Oviposition Period,Oviposition Period 1/period(day) in engorged females,days-1,Ixodida,Ixodidae,adult,Trait: Oviposition Period. Definition: Oviposition Period 1/period(day) in engorged females. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,days-1,Ixodida,Ixodidae,adult,Trait: Pre-Oviposition Period in engorged females. Definition: Pre-Oviposition Period in engorged females. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Development Rate (Egg),1 / time for egg incubation across const temps,days-1,Ixodida,Ixodidae,egg,Trait: Development Rate (Egg). Definition: 1 / time for egg incubation across const temps. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,-1
Development Rate (Larva),1 / development time of Engorged Larva,days-1,Ixodida,Ixodidae,nymph,Trait: Development Rate (Larva). Definition: 1 / development time of Engorged Larva. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Development Rate (Nymph),1 / development time of Engorged Nymph,days-1,Ixodida,Ixodidae,larvae,Trait: Development Rate (Nymph). Definition: 1 / development time of Engorged Nymph. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larvae.,v6,-1
preoviposition period,Mean Pre-Oviposition Period,days,Ixodida,Ixodidae,adult,Trait: preoviposition period. Definition: Mean Pre-Oviposition Period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,19
incubation period,Mean Incubation Period,days,Ixodida,Ixodidae,egg,Trait: incubation period. Definition: Mean Incubation Period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae. Life stage: egg.,v6,14
oviposition,daily average number of eggs / female,eggs,Ixodida,Ixodidae,adult,Trait: oviposition. Definition: daily average number of eggs / female. Unit: eggs. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,-1
Body Mass,Weight of an individual engorged female,mg,Ixodida,Ixodidae,adult,Trait: Body Mass. Definition: Weight of an individual engorged female. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
Egg Mass,Weight of eggs laid by an individual female,mg,Ixodida,Ixodidae,adult,Trait: Egg Mass. Definition: Weight of eggs laid by an individual female. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: adult.,v6,7
Body Mass,mean daily weight of larvae during their feeding periods,mg,Ixodida,Ixodidae,larva,Trait: Body Mass. Definition: mean daily weight of larvae during their feeding periods. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,7
Body Mass,mean daily weight of nymphs during their pharate periods,mg,Ixodida,Ixodidae,pharate nymph,Trait: Body Mass. Definition: mean daily weight of nymphs during their pharate periods. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: pharate nymph.,v6,7
Body Mass,mean daily weight of nymphs during their feeding periods,mg,Ixodida,Ixodidae,pharate nymph,Trait: Body Mass. Definition: mean daily weight of nymphs during their feeding periods. Unit: mg. Organism order: Ixodida. Organism family: Ixodidae. Life stage: pharate nymph.,v6,7
Development Rate,percent of immature stages remaining x days after attatchment,percent,Ixodida,Ixodidae,larva,Trait: Development Rate. Definition: percent of immature stages remaining x days after attatchment. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: larva.,v6,-1
Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),percent,Ixodida,Ixodidae,nymph,Trait: Development Rate. Definition: Percent of emerging males who develop on day X after attatchment (premolt period). Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),percent,Ixodida,Ixodidae,nymph,Trait: Development Rate. Definition: Percent of emerging females who develop on day X after attatchment (premolt period). Unit: percent. Organism order: Ixodida. Organism family: Ixodidae. Life stage: nymph.,v6,-1
