OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,text,version,cluster_id,,,,,,,,,,,
longevity,mean rate of life stage completion,days,Hemiptera,Aphididae,Trait: longevity. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Homoptera,Aphididae,Trait: longevity. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor),days,Homoptera,Aphididae,Trait: longevity. Definition: mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor). Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,aphid lifespan,days,Hemiptera,Aphididae,Trait: longevity. Definition: aphid lifespan. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,lifespan of aphids,days,Hemiptera,Aphididae,Trait: longevity. Definition: lifespan of aphids. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity,adult aphid survival,days,Hemiptera,Aphididae,Trait: longevity. Definition: adult aphid survival. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity (alate),mean duration of life stage,days,Homoptera,Aphididae,Trait: longevity (alate). Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
longevity (apterous),mean duration of life stage,days,Homoptera,Aphididae,Trait: longevity (apterous). Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
mean longevity,mean lifespan in days,days,Hemiptera,Aphididae,Trait: mean longevity. Definition: mean lifespan in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,14,,,,,,,,,,,
Development time,Mean time from engorgement to moulting,days,Ixodida,Ixodidae,Trait: Development time. Definition: Mean time from engorgement to moulting. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
development rate,mean rate of life stage completion,days-1,Lepidoptera,Gelechiidae,Trait: development rate. Definition: mean rate of life stage completion. Unit: days-1. Organism order: Lepidoptera. Organism family: Gelechiidae.,v5,15,,,,,,,,,,,
development rate,rate of life stage completion,days-1,Hemiptera,Aphididae,Trait: development rate. Definition: rate of life stage completion. Unit: days-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development rate,mean duration of life stage,days,Coleoptera,Chrysomelidae,Trait: development rate. Definition: mean duration of life stage. Unit: days. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,15,,,,,,,,,,,
development rate,individual-level rate of life stage completion,days-1,Acari,Tetranychidae,Trait: development rate. Definition: individual-level rate of life stage completion. Unit: days-1. Organism order: Acari. Organism family: Tetranychidae.,v5,15,,,,,,,,,,,
development rate,replicate-level mean rate of life stage completion,days-1,Homoptera,Aphididae,Trait: development rate. Definition: replicate-level mean rate of life stage completion. Unit: days-1. Organism order: Homoptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development rate,inverse of the mean duration of life stage,days-1,Hemiptera,Aphididae,Trait: development rate. Definition: inverse of the mean duration of life stage. Unit: days-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,mean duration of life stage,days,Hemiptera,Aphididae,Trait: development time. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,median duration of life stage,days,Hemiptera,Aleyrodidae,Trait: development time. Definition: median duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aleyrodidae.,v5,15,,,,,,,,,,,
development time,mean duration period from aphid birth to its first reproduction,days,Hemiptera,Aphididae,Trait: development time. Definition: mean duration period from aphid birth to its first reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,mean duration of life cycle (egg-to-egg),days,Coleoptera,Coccinellidae,Trait: development time. Definition: mean duration of life cycle (egg-to-egg). Unit: days. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,15,,,,,,,,,,,
development time,mean duration of life stage (across all humidity levels),days,Coleoptera,Chrysomelidae,Trait: development time. Definition: mean duration of life stage (across all humidity levels). Unit: days. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,15,,,,,,,,,,,
development time,mean duration for 50 percent of eggs to hatch,days,Coleoptera,Chrysomelidae,Trait: development time. Definition: mean duration for 50 percent of eggs to hatch. Unit: days. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,15,,,,,,,,,,,
development time,duration of life stage,days,Coleoptera,Curculionidae,Trait: development time. Definition: duration of life stage. Unit: days. Organism order: Coleoptera. Organism family: Curculionidae.,v5,15,,,,,,,,,,,
development time,mean duration of life cycle,days,Acari,Tetranychidae,Trait: development time. Definition: mean duration of life cycle. Unit: days. Organism order: Acari. Organism family: Tetranychidae.,v5,15,,,,,,,,,,,
development time,individual-level duration of life stage,days,Diptera,Culicidae,Trait: development time. Definition: individual-level duration of life stage. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,15,,,,,,,,,,,
development time,mean duration of larval attachment developmental phase,days,Ixodida,Ixodidae,Trait: development time. Definition: mean duration of larval attachment developmental phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
development time,mean duration from when eggs were deposited to hatch,days,Ixodida,Ixodidae,Trait: development time. Definition: mean duration from when eggs were deposited to hatch. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
development time,mean time to complete nymphal devlopment,days,Ixodida,Ixodidae,Trait: development time. Definition: mean time to complete nymphal devlopment. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,Homoptera,Aphididae,Trait: development time. Definition: mean duration of juvenile stages and from adult emergence to the onset of reproduction. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,Homoptera,Aphididae,Trait: development time. Definition: mean duration of life stage as a function of rearing food type (secondstressor) and temperature. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,nymphal development time,days,Hemiptera,Aphididae,Trait: development time. Definition: nymphal development time. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,mean nymphal development time,days,Hemiptera,Aphididae,Trait: development time. Definition: mean nymphal development time. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
development time,mean duration of incubation period,days,Ixodida,Ixodidae,Trait: development time. Definition: mean duration of incubation period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
development time,mean duration of attachment period,days,Ixodida,Ixodidae,Trait: development time. Definition: mean duration of attachment period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
development time,mean duration of premoulting period,days,Ixodida,Ixodidae,Trait: development time. Definition: mean duration of premoulting period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,15,,,,,,,,,,,
developmental time,mean duration of life stage,days,Hemiptera,Liviidae,Trait: developmental time. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Liviidae.,v5,15,,,,,,,,,,,
developmental time,number of days at each developmental stage,days,Hemiptera,Aphididae,Trait: developmental time. Definition: number of days at each developmental stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,15,,,,,,,,,,,
Incubation Period,Incubation period of ticks held at constant temperature,days,Ixodida,Ixodidae,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,mean duration of egg incubation period (lay to hatching),days,Ixodida,Ixodidae,Trait: incubation period. Definition: mean duration of egg incubation period (lay to hatching). Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,median time from oviposition to hatching,days,Ixodida,Ixodidae,Trait: incubation period. Definition: median time from oviposition to hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,time from start of oviposition until first eggs hatched,days,Ixodida,Ixodidae,Trait: incubation period. Definition: time from start of oviposition until first eggs hatched. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,mean duration from oviposition to hatching,days,Ixodida,Ixodidae,Trait: incubation period. Definition: mean duration from oviposition to hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,Ixodida,Ixodidae,Trait: incubation period. Definition: mean Incubation Period in days from egg to larvae at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,Ixodida,Ixodidae,Trait: incubation period. Definition: mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva). Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,mean egg incubation period,days,Ixodida,Ixodidae,Trait: incubation period. Definition: mean egg incubation period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
incubation period,Mean Incubation Period,days,Ixodida,Ixodidae,Trait: incubation period. Definition: Mean Incubation Period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
pre hatching period,mean time until hatching,days,Ixodida,Ixodidae,Trait: pre hatching period. Definition: mean time until hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,16,,,,,,,,,,,
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Ixodida,Ixodidae,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
molting period,time required for engorged larval ticks to molt,days,Ixodida,Ixodidae,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
molting period (larval),mean duration of life stage,days,Ixodida,Ixodidae,Trait: molting period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
molting period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,Trait: molting period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
molting time,mean duration of nymphal molting phase,days,Ixodida,Ixodidae,Trait: molting time. Definition: mean duration of nymphal molting phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
moulting period,mean time required for nymphs to moult,days,Ixodida,Ixodidae,Trait: moulting period. Definition: mean time required for nymphs to moult. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period,mean duration of life stage,days,Ixodida,Ixodidae,Trait: premolt period. Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period (larval),mean duration of larval premolting phase,days,Ixodida,Ixodidae,Trait: premolt period (larval). Definition: mean duration of larval premolting phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period (larval),mean time to complete larval moulting,days,Ixodida,Ixodidae,Trait: premolt period (larval). Definition: mean time to complete larval moulting. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period (larval),mean duration of life stage,days,Ixodida,Ixodidae,Trait: premolt period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period (nymphal),mean duration of nymphal premolting phase,days,Ixodida,Ixodidae,Trait: premolt period (nymphal). Definition: mean duration of nymphal premolting phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period (nymphal),mean time to complete nymphal moulting,days,Ixodida,Ixodidae,Trait: premolt period (nymphal). Definition: mean time to complete nymphal moulting. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolt period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,Trait: premolt period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolting period,mean Premolting Period in days at larval state at const temps,days,Ixodida,Ixodidae,Trait: premolting period. Definition: mean Premolting Period in days at larval state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolting period,mean Premolting Period in days at nymph state at constant temps,days,Ixodida,Ixodidae,Trait: premolting period. Definition: mean Premolting Period in days at nymph state at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
premolting period,average pre-moulting period engorged on calves,days,Ixodida,Ixodidae,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,17,,,,,,,,,,,
feeding period,mean duration of feeding period,days,Ixodida,Ixodidae,Trait: feeding period. Definition: mean duration of feeding period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period,mean Feeding Period in days at larval state at constant temps,days,Ixodida,Ixodidae,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period,mean Feeding Period in days at nymph state at constant temps,days,Ixodida,Ixodidae,Trait: feeding period. Definition: mean Feeding Period in days at nymph state at constant temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period,mean Feeding Period in days at adult female state at const temps,days,Ixodida,Ixodidae,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period,mean time required for nymphs to feed,days,Ixodida,Ixodidae,Trait: feeding period. Definition: mean time required for nymphs to feed. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period (adult),mean duration of life stage,days,Ixodida,Ixodidae,Trait: feeding period (adult). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period (larval),mean duration of life stage,days,Ixodida,Ixodidae,Trait: feeding period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,Trait: feeding period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding time,mean duration of adult female feeding developmental phase,days,Ixodida,Ixodidae,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
feeding time,mean duration of feeding developmental phase,days,Ixodida,Ixodidae,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
prefeeding period (adult),mean duration of life stage,days,Ixodida,Ixodidae,Trait: prefeeding period (adult). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
prefeeding period (larval),mean duration of life stage,days,Ixodida,Ixodidae,Trait: prefeeding period (larval). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
prefeeding period (nymphal),mean duration of life stage,days,Ixodida,Ixodidae,Trait: prefeeding period (nymphal). Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,18,,,,,,,,,,,
age at first reproduction,mean age at first reproduction,days,Homoptera,Aphididae,Trait: age at first reproduction. Definition: mean age at first reproduction. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,19,,Reproductive period split into two clusters,,,,,,,,,
age at first reproduction,mean duration of life stage,days,Homoptera,Aphididae,Trait: age at first reproduction. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
age at first reproduction,mean duration from birth to onset of reproduction,days,Hemiptera,Aphididae,Trait: age at first reproduction. Definition: mean duration from birth to onset of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
age at first reproduction,mean age at the onset of reproduction,days,Hemiptera,Aphididae,Trait: age at first reproduction. Definition: mean age at the onset of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
post-reproduction period,duration of developmental phases in days,days,Hemiptera,Aphididae,Trait: post-reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
post-reproductive period,mean duration of life stage,days,Homoptera,Aphididae,Trait: post-reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
post-reproductive period,mean rate of life stage completion,days,Hemiptera,Aphididae,Trait: post-reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Homoptera,Aphididae,Trait: pre-oviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
pre-reproduction period,duration of developmental phases in days,days,Hemiptera,Aphididae,Trait: pre-reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,Hemiptera,Aphididae,Trait: pre-reproductive period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
pre-reproductive period,period of time before female aphids reproduce,days,Hemiptera,Aphididae,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
reproduction period,duration of developmental phases in days,days,Hemiptera,Aphididae,Trait: reproduction period. Definition: duration of developmental phases in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
reproductive and post-reproductive periods,mean duration of life stage,days,Homoptera,Aphididae,Trait: reproductive and post-reproductive periods. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
reproductive period,mean duration of life stage,days,Hemiptera,Aphididae,Trait: reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
reproductive period,mean rate of life stage completion,days,Hemiptera,Aphididae,Trait: reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,19,,,,,,,,,,,
Oviposition Period,Oviposition Period 1/period(day) in engorged females,days-1,Ixodida,Ixodidae,Trait: Oviposition Period. Definition: Oviposition Period 1/period(day) in engorged females. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
oviposition,Mean ovipostion period in days,days,Ixodida,Ixodidae,Trait: oviposition. Definition: Mean ovipostion period in days. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
oviposition period,mean Oviposition Period in days at adult female state at const temps,days,Ixodida,Ixodidae,Trait: oviposition period. Definition: mean Oviposition Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
ovipositional period,mean duration of reproductive period,days,Ixodida,Ixodidae,Trait: ovipositional period. Definition: mean duration of reproductive period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
ovipositional period,mean duration of ovipositional period,days,Ixodida,Ixodidae,Trait: ovipositional period. Definition: mean duration of ovipositional period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
ovipositional period,individual-level duration of reproductive period,days,Ixodida,Ixodidae,Trait: ovipositional period. Definition: individual-level duration of reproductive period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition,Mean preoviposition period in days,days,Ixodida,Ixodidae,Trait: preoviposition. Definition: Mean preoviposition period in days. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean duration of prereproductive period (end of feeding until oviposition). Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean duration of period before oviposition,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean duration of period before oviposition. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean duration of life stage,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean duration from adult emergence to onset of reproduction,days,Hymenoptera,Eulophidae,Trait: preoviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,20,,,,,,,,,,,
preoviposition period,mean days in preoviposition,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean days in preoviposition. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: individual-level duration of prereproductive period (end of feeding until oviposition). Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean Preoviposition Period in days at adult female state at const temps. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean time required for an engorged female tick to begin laying eggs. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,mean time until onset of oviposition,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: mean time until onset of oviposition. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
preoviposition period,Mean Pre-Oviposition Period,days,Ixodida,Ixodidae,Trait: preoviposition period. Definition: Mean Pre-Oviposition Period. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,20,,,,,,,,,,,
